0it [00:00, ?it/s]
1it [00:01,  1.42s/it]
9it [00:01,  1.00it/s]
16it [00:01,  1.42it/s]
24it [00:01,  2.02it/s]
32it [00:01,  2.85it/s]
40it [00:01,  4.01it/s]
47it [00:02,  5.57it/s]
56it [00:02,  7.74it/s]
66it [00:02, 10.68it/s]
75it [00:02, 14.51it/s]
85it [00:02, 19.45it/s]
94it [00:02, 25.36it/s]
103it [00:02, 31.63it/s]
113it [00:02, 39.31it/s]
123it [00:02, 47.66it/s]
132it [00:03, 53.41it/s]
142it [00:03, 61.56it/s]
151it [00:03, 66.66it/s]
160it [00:03, 70.09it/s]
170it [00:03, 75.46it/s]
179it [00:03, 75.55it/s]
188it [00:03, 76.02it/s]
197it [00:03, 79.27it/s]
206it [00:03, 82.14it/s]
215it [00:04, 80.02it/s]
224it [00:04, 81.08it/s]
233it [00:04, 81.00it/s]
242it [00:04, 80.54it/s]
251it [00:04, 81.10it/s]
260it [00:04, 80.53it/s]
270it [00:04, 83.27it/s]
279it [00:04, 83.39it/s]
289it [00:04, 87.52it/s]
299it [00:05, 88.16it/s]
308it [00:05, 87.14it/s]
317it [00:05, 86.50it/s]
327it [00:05, 87.99it/s]
336it [00:05, 85.58it/s]
345it [00:05, 84.53it/s]
355it [00:05, 87.62it/s]
364it [00:05, 86.05it/s]
373it [00:05, 81.51it/s]
383it [00:06, 84.01it/s]
392it [00:06, 81.71it/s]
402it [00:06, 85.79it/s]
411it [00:06, 83.87it/s]
421it [00:06, 85.57it/s]
430it [00:06, 85.15it/s]
439it [00:06, 85.12it/s]
448it [00:06, 84.03it/s]
457it [00:06, 80.61it/s]
466it [00:07, 79.32it/s]
476it [00:07, 81.40it/s]
486it [00:07, 84.64it/s]
495it [00:07, 83.56it/s]
504it [00:07, 85.38it/s]
513it [00:07, 82.43it/s]
523it [00:07, 85.08it/s]
532it [00:07, 85.10it/s]
541it [00:07, 85.33it/s]
550it [00:07, 84.34it/s]
559it [00:08, 84.81it/s]
568it [00:08, 85.09it/s]
578it [00:08, 86.93it/s]
589it [00:08, 91.80it/s]
599it [00:08, 89.38it/s]
609it [00:08, 85.20it/s]
618it [00:08, 83.48it/s]
628it [00:08, 87.43it/s]
637it [00:08, 88.11it/s]
646it [00:09, 85.10it/s]
655it [00:09, 85.68it/s]
664it [00:09, 85.13it/s]
673it [00:09, 83.01it/s]
682it [00:09, 83.87it/s]
691it [00:09, 85.38it/s]
701it [00:09, 88.50it/s]
710it [00:09, 88.09it/s]
719it [00:09, 85.34it/s]
729it [00:10, 88.70it/s]
739it [00:10, 90.92it/s]
750it [00:10, 94.24it/s]
760it [00:10, 89.95it/s]
770it [00:10, 87.53it/s]
780it [00:10, 87.28it/s]
789it [00:10, 87.53it/s]
798it [00:10, 85.70it/s]
808it [00:10, 89.11it/s]
817it [00:11, 87.77it/s]
826it [00:11, 88.36it/s]
835it [00:11, 88.14it/s]
845it [00:11, 88.99it/s]
854it [00:11, 88.44it/s]
863it [00:11, 84.90it/s]
